Algorithm,p_within,p_between,ARI,NMI
spectral_clustering,0.5,0.3,0.00578806767586821,0.0028704130057367046
spectral_clustering,0.5,0.4,0.004303058244966958,0.0007782511063922448
spectral_clustering,0.5,0.5,0.010309278350515464,0.0018042502215979176
spectral_clustering,0.6,0.1,1.0,1.0
spectral_clustering,0.6,0.2,1.0,1.0
spectral_clustering,0.6,0.3,0.7952408366916139,0.6295369675868436
spectral_clustering,0.6,0.4,-0.0013192612137203166,0.06621106136596795
spectral_clustering,0.6,0.5,-0.003504544956740773,4.366703769777401e-05
spectral_clustering,0.6,0.6,0.0016207455429497568,0.0015954171898370896
spectral_clustering,0.7,0.1,1.0,1.0
spectral_clustering,0.7,0.2,1.0,1.0
spectral_clustering,0.7,0.3,1.0,1.0
spectral_clustering,0.7,0.4,0.9303396660909614,0.860486227572318
spectral_clustering,0.7,0.5,0.004097011376522661,0.007423483898714868
spectral_clustering,0.7,0.6,-0.006156552330694811,0.001599196059711663
spectral_clustering,0.7,0.7,-0.023370786516853932,0.02018284701443669
spectral_clustering,0.8,0.1,1.0,1.0
spectral_clustering,0.8,0.2,1.0,1.0
spectral_clustering,0.8,0.3,1.0,1.0
spectral_clustering,0.8,0.4,1.0,1.0
spectral_clustering,0.8,0.5,1.0,1.0
spectral_clustering,0.8,0.6,0.12298160696999032,0.09794771125291551
spectral_clustering,0.8,0.7,-0.006209114092471449,0.0004068994166345721
spectral_clustering,0.8,0.8,-0.0020437956204379564,0.004391525554656796
spectral_clustering,0.9,0.1,1.0,1.0
spectral_clustering,0.9,0.2,1.0,1.0
spectral_clustering,0.9,0.3,1.0,1.0
spectral_clustering,0.9,0.4,1.0,1.0
spectral_clustering,0.9,0.5,1.0,1.0
spectral_clustering,0.9,0.6,0.9303396660909614,0.860486227572318
spectral_clustering,0.9,0.7,0.18439024390243902,0.12883190590766508
spectral_clustering,0.9,0.8,-0.003504544956740773,4.366703769777401e-05
spectral_clustering,0.9,0.9,0.032541776605101144,0.053209016705396676
spectral_clustering,1.0,0.1,1.0,1.0
spectral_clustering,1.0,0.2,1.0,1.0
spectral_clustering,1.0,0.3,1.0,1.0
spectral_clustering,1.0,0.4,1.0,1.0
spectral_clustering,1.0,0.5,1.0,1.0
spectral_clustering,1.0,0.6,1.0,1.0
spectral_clustering,1.0,0.7,1.0,1.0
spectral_clustering,1.0,0.8,0.7785847686241959,0.6654405508331674
spectral_clustering,1.0,0.9,0.7785847686241959,0.6654405508331674
spectral_clustering,1.0,1.0,-0.016614745586708203,0.005558872626320696
